date,Moderate,Risky,Safe
1-Apr-06, 620 , 560 , 670 
1-Jul-06, 620 , 562 , 670 
1-Oct-06, 620 , 553 , 670 
1-Jan-07, 620 , 565 , 670 
1-Apr-07, 620 , 585 , 670 
1-Jul-07, 620 , 590 , 670 
1-Oct-07, 570 , 591 , 670 
1-Jan-08, 570 , 593 , 670 
1-Apr-08, 530 , 593 , 670 
1-Jul-08, 530 , 590 , 670 
1-Oct-08, 530 , 589 , 670 
1-Apr-09, 530 , 620 , 670 
1-Jul-09, 708 , 715 , 713 
1-Oct-09, 718 , 714 , 715 
1-Jan-10, 725 , 718 , 716 
1-Apr-10, 713 , 711 , 712 
1-Jul-10, 711 , 715 , 714 
1-Oct-10, 714 , 713 , 713 
1-Jan-11, 721 , 722 , 725 
1-Apr-11, 699 , 704 , 702 
1-Jul-11, 706 , 707 , 706 
1-Oct-11, 709 , 709 , 707 
1-Jan-12, 716 , 714 , 713 
1-Apr-12, 708 , 708 , 708 
1-Jul-12, 710 , 710 , 708 
1-Oct-12, 714 , 714 , 713 
1-Jan-13, 716 , 717 , 714 
1-Apr-13, 719 , 716 , 716 
1-Jul-13, 714 , 712 , 715 
1-Oct-13, 699 , 699 , 699 
1-Jan-14, 703 , 703 , 704 
